Mine ID,Mine Name,Commodity,Mine Status,Status Date,Type of Mine,Street,City,State,Zip Code,full_address,lat,lon,confidence,geocode_method
4103016,Phillips Pit,"Crushed, Broken Limestone NEC",Abandoned,8/17/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103015,Robertson Pit,"Crushed, Broken Limestone NEC",Abandoned,6/8/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102935,Maryneal Quarry,"Crushed, Broken Limestone NEC",Abandoned,11/28/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102933,Gifford-Hill Quarry,"Crushed, Broken Limestone NEC",Abandoned,11/28/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103456,Collier Gravel Pit,"Crushed, Broken Granite",Abandoned,10/8/1992,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102830,Garrison Pit,"Crushed, Broken Limestone NEC",Abandoned,10/1/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102850,Crusher No 2 S H 60 Job,"Crushed, Broken Limestone NEC",Abandoned,12/17/1979,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102848,Gass Pit,"Crushed, Broken Limestone NEC",Abandoned,5/4/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102842,Lester W Mathis Pit And Plant,"Crushed, Broken Limestone NEC",Abandoned,6/15/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102837,Wallace Pit,"Crushed, Broken Limestone NEC",Abandoned,10/4/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102836,Alvarez Pit And Plant,"Crushed, Broken Limestone NEC",Abandoned,2/12/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102835,Wes-Tex Materials #1,"Crushed, Broken Limestone NEC",Abandoned,11/7/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102834,Kelly Pit,"Crushed, Broken Limestone NEC",Abandoned,6/4/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
